Date,Transaction Type,Amount,Current Balance
"06/02/2023, 00:56:17",Account Created,1750€,1750€
"06/02/2023, 00:56:52",Money Deposit,100,1850
"06/02/2023, 00:56:55",Money Deposit,200,1950
"06/02/2023, 00:57:03",Money Deposit,200,1950
"06/02/2023, 00:57:04",Money Deposit,200,1950
"06/02/2023, 00:57:05",Money Deposit,200,1950
"06/02/2023, 00:57:05",Money Deposit,200,1950
"06/02/2023, 00:57:05",Money Deposit,200,1950
"06/02/2023, 00:57:06",Money Deposit,200,1950
"06/02/2023, 00:57:06",Money Deposit,200,1950
"06/02/2023, 00:57:06",Money Deposit,200,1950
"06/02/2023, 00:57:06",Money Deposit,200,1950
"06/02/2023, 00:57:06",Money Deposit,200,1950
"06/02/2023, 00:57:07",Money Deposit,200,1950
"06/02/2023, 00:57:07",Money Deposit,200,1950
"06/02/2023, 00:57:07",Money Deposit,200,1950
"06/02/2023, 00:57:07",Money Deposit,200,1950
"06/02/2023, 00:59:16",Money Deposit,100,2050
"06/02/2023, 00:59:19",Money Deposit,200,2250
"06/02/2023, 00:59:20",Money Deposit,200,2450
"06/02/2023, 00:59:20",Money Deposit,200,2650
"06/02/2023, 00:59:21",Money Deposit,200,2850
"06/02/2023, 00:59:22",Money Deposit,200,3050
"06/02/2023, 00:59:22",Money Deposit,200,3250
"06/02/2023, 00:59:23",Money Withdraw,200,2850
"06/02/2023, 00:59:47",Money Deposit,200,3050
"06/02/2023, 00:59:49",Money Deposit,200,3250
"06/02/2023, 00:59:50",Money Withdraw,200,3050
"06/02/2023, 00:59:51",Money Withdraw,200,2850
"06/02/2023, 00:59:52",Money Withdraw,200,2650
"06/02/2023, 00:59:52",Money Withdraw,200,2450
"06/02/2023, 00:59:52",Money Withdraw,200,2250
"06/02/2023, 00:59:52",Money Withdraw,200,2050
"06/02/2023, 01:00:05",Money Withdraw,2000,50
"06/02/2023, 01:00:16",Money Deposit,200,250
"06/02/2023, 01:00:18",Money Deposit,300,550
"06/02/2023, 01:00:30",Money Withdraw,1,549
"06/02/2023, 01:00:30",Money Withdraw,1,548
"06/02/2023, 01:00:30",Money Withdraw,1,547
"06/02/2023, 01:00:31",Money Withdraw,1,546
"06/02/2023, 01:00:31",Money Withdraw,1,545
"06/02/2023, 01:00:31",Money Withdraw,1,544
"06/02/2023, 01:00:31",Money Withdraw,1,543
"06/02/2023, 01:00:32",Money Withdraw,1,542
"06/02/2023, 01:00:32",Money Withdraw,1,541
"06/02/2023, 01:00:32",Money Withdraw,1,540
"06/02/2023, 01:00:32",Money Withdraw,1,539
"06/02/2023, 01:00:32",Money Withdraw,1,538
"06/02/2023, 01:00:33",Money Withdraw,1,537
"06/02/2023, 01:00:33",Money Withdraw,1,536
"06/02/2023, 01:00:33",Money Withdraw,1,535
"06/02/2023, 01:02:56",Money Deposit,100,635
