Date,Transaction Type,Amount,Current Balance
"08/02/2023, 19:43:21",New Account,100€,100€
"08/02/2023, 19:43:35",Logged in,N/A,100€
"08/02/2023, 19:43:43",Deposit,200€,300€
"08/02/2023, 19:48:25",Logged in,N/A,300€
"08/02/2023, 19:54:54",Logged in,N/A,300€
"08/02/2023, 19:59:09",Logged in,N/A,300€
"08/02/2023, 20:03:01",Logged in,N/A,300€
"08/02/2023, 20:07:19",Logged in,N/A,300€
"08/02/2023, 20:08:57",Logged in,N/A,300€
"08/02/2023, 20:10:42",Logged in,N/A,300€
"08/02/2023, 20:10:46",Deposit,200€,500€
"08/02/2023, 20:11:37",Logged in,N/A,500€
"08/02/2023, 20:11:43",Deposit,100€,600€
"08/02/2023, 20:12:13",Deposit,200€,800€
"08/02/2023, 20:12:38",Logged in,N/A,800€
"08/02/2023, 20:12:42",Deposit,100€,900€
"08/02/2023, 20:12:46",Withdraw,100€,800€
"08/02/2023, 20:14:24",Logged in,N/A,800€
"08/02/2023, 20:14:26",Deposit,200€,1000€
"08/02/2023, 20:14:30",Withdraw,100€,900€
"08/02/2023, 20:15:03",Logged in,N/A,900€
"08/02/2023, 20:15:05",Deposit,100€,1000€
"08/02/2023, 20:15:08",Withdraw,200€,800€
