Date,Transaction Type,Amount,Current Balance
"07/02/2023, 23:58:23",New Account,300€,300€
"07/02/2023, 23:59:10",Logged in,N/A,300€
"08/02/2023, 00:04:53",Logged in,N/A,300€
"08/02/2023, 00:05:42",Deposit,100€,400€
"08/02/2023, 00:05:45",Deposit,100€,500€
"08/02/2023, 00:05:46",Deposit,200€,700€
"08/02/2023, 00:05:51",Deposit,200€,900€
"08/02/2023, 00:38:06",Logged in,N/A,900€
"08/02/2023, 00:38:31",Withdraw,57€,843€
"08/02/2023, 00:38:47",Withdraw,786€,57€
"08/02/2023, 00:38:58",Deposit,78€,135€
"08/02/2023, 00:39:01",Deposit,78€,213€
"08/02/2023, 00:39:01",Deposit,78€,291€
"08/02/2023, 00:39:01",Deposit,78€,369€
"08/02/2023, 00:39:02",Deposit,78€,447€
"08/02/2023, 00:39:02",Deposit,78€,525€
"08/02/2023, 00:39:02",Deposit,78€,603€
"08/02/2023, 00:39:02",Deposit,78€,681€
"08/02/2023, 15:13:48",Logged in,N/A,681€
