Date,Transaction Type,Amount,Current Balance
"06/02/2023, 09:18:20",New Account,500€,500€
"06/02/2023, 09:18:40",Deposit,500€,1000€
"06/02/2023, 09:18:41",Deposit,800€,1800€
"06/02/2023, 09:18:43",Deposit,900€,2700€
"06/02/2023, 09:18:45",Withdraw,600€,2100€
"06/02/2023, 09:18:45",Withdraw,600€,1500€
"06/02/2023, 09:18:45",Withdraw,600€,900€
"06/02/2023, 09:18:45",Withdraw,600€,300€
"06/02/2023, 09:35:16",Deposit,300€,600€
"06/02/2023, 09:35:18",Deposit,800€,1400€
"06/02/2023, 09:35:21",Withdraw,200€,1200€
"06/02/2023, 09:35:26",Withdraw,50€,1150€
"06/02/2023, 09:35:26",Withdraw,50€,1100€
"06/02/2023, 09:35:46",Deposit,850€,1950€
