Date,Transaction Type,Amount,Current Balance
"05/02/2023, 10:28:35",Account Created,500€,500€
"05/02/2023, 10:29:31",Money Deposit,300,800
"05/02/2023, 10:29:53",Money Withdraw,100,400
"05/02/2023, 10:30:15",Money Deposit,400,1200
"05/02/2023, 10:31:44",Money Deposit,300,1500
"05/02/2023, 10:31:46",Money Deposit,300,1500
"05/02/2023, 10:32:02",Money Withdraw,100,1400
"05/02/2023, 10:32:04",Money Withdraw,100,1400
"05/02/2023, 10:32:05",Money Withdraw,100,1300
"05/02/2023, 10:32:06",Money Withdraw,100,1300
"05/02/2023, 10:32:06",Money Withdraw,100,1200
